elevation_deg,range_km,max_alt_km,max_alpha_deg,max_E_s_km,has_pullup,n_points
15,411.3855427867694,246.92227683178015,8.802127599625681,287.4169020769291,True,3734
20,411.3855427867694,246.92227683178015,8.802127599625681,287.4169020769291,True,3734
25,411.3868913496229,246.92245376531844,8.802127624302216,287.41723082759864,True,3780
30,409.5138767321424,247.7235745564074,8.711009475171693,287.6123666420235,True,3305
35,407.15922999203735,248.70554047594882,8.618497882074868,287.9381942058205,True,2932
40,404.1484726990471,249.90681766437555,8.524852117031138,288.3629011175279,True,2676
45,400.2977934697311,251.429813993382,8.44374702711347,288.91230956768186,True,2452
50,395.2607941148824,253.324941657921,8.358468277345084,289.57772898926413,True,2250
55,388.5496387778862,255.7379888443947,8.269645454639287,290.4166984936311,True,2074
60,379.5798726882426,258.8607288250273,8.1388747916958,291.5291891572566,True,1924
